Date,Description,Debit,Credit,Cards,Purchase Type,Transaction Type,Monthly
3/4/2023,7 Days Food Store,35.08,0,1,Groceries,P,N
5/28/2023,7-eleven,42.15,0,0,Gas,B,N
5/26/2023,7-eleven,106.62,0,2675,Gas,B,N
5/26/2023,7-eleven,35.09,0,2679,Gas,B,N
5/25/2023,7-eleven,56.49,0,2679,Gas,B,N
5/23/2023,7-eleven,65.94,0,9031,Gas,B,N
5/23/2023,7-eleven,38.02,0,9031,Gas,B,N
5/22/2023,7-eleven,85.79,0,2675,Gas,B,N
5/20/2023,7-eleven,12.89,0,2679,Gas,B,N
5/20/2023,7-eleven,33.91,0,0,Gas,B,N
5/19/2023,7-eleven,52.44,0,3341,Gas,B,N
5/17/2023,7-eleven,30.83,0,3341,Gas,B,N
5/16/2023,7-eleven,57.7,0,2675,Gas,B,N
5/16/2023,7-eleven,47.19,0,2679,Gas,B,N
5/13/2023,7-eleven,60.07,0,3341,Gas,B,N
5/13/2023,7-eleven,17.85,0,3341,Gas,B,N
5/9/2023,7-eleven,97.96,0,2675,Gas,B,N
5/7/2023,7-eleven,64.04,0,1,Gas,B,N
5/7/2023,7-eleven,11.3,0,1,Gas,B,N
5/7/2023,7-eleven,41.9,0,3341,Gas,B,N
5/6/2023,7-eleven,75.59,0,3341,Gas,B,N
5/6/2023,7-eleven,4.33,0,3341,Gas,B,N
5/5/2023,7-eleven,4.44,0,3341,Gas,B,N
5/5/2023,7-eleven,103.61,0,2675,Gas,B,N
5/5/2023,7-eleven,56.57,0,9031,Gas,B,N
5/4/2023,7-eleven,55.85,0,2679,Gas,B,N
5/1/2023,7-eleven,40.15,0,3341,Gas,B,N
5/1/2023,7-eleven,39.54,0,3341,Gas,B,N
4/29/2023,7-eleven,59.69,0,3341,Gas,B,N
4/28/2023,7-eleven,25.16,0,2675,Gas,B,N
4/7/2023,7-eleven,54.21,0,1,Gas,B,N
4/3/2023,7-eleven,41.23,0,3341,Gas,B,N
4/3/2023,7-eleven,105,0,2675,Gas,B,N
4/26/2023,7-eleven,47.12,0,718,Gas,B,N
4/26/2023,7-eleven,51.41,0,3341,Gas,B,N
4/25/2023,7-eleven,52.58,0,3341,Gas,B,N
4/24/2023,7-eleven,52.72,0,2675,Gas,B,N
4/21/2023,7-eleven,29.79,0,3341,Gas,B,N
4/20/2023,7-eleven,81.38,0,2675,Gas,B,N
4/18/2023,7-eleven,38.99,0,2675,Gas,B,N
4/16/2023,7-eleven,31.84,0,1,Gas,B,N
4/14/2023,7-eleven,115.47,0,2675,Gas,B,N
4/12/2023,7-eleven,61.9,0,3341,Gas,B,N
4/11/2023,7-eleven,48.83,0,9031,Gas,B,N
4/11/2023,7-eleven,58.94,0,9031,Gas,B,N
4/10/2023,7-eleven,38.56,0,718,Gas,B,N
4/1/2023,7-eleven,27.49,0,9031,Gas,B,N
3/7/2023,7-eleven,30.81,0,2679,Gas,B,N
3/31/2023,7-eleven,76,0,3341,Gas,B,N
3/30/2023,7-eleven,61.02,0,1,Gas,B,N
3/27/2023,7-eleven,12.52,0,9031,Gas,B,N
3/24/2023,7-eleven,90.94,0,2675,Gas,B,N
3/22/2023,7-eleven,39.12,0,1,Gas,B,N
3/20/2023,7-eleven,66.01,0,9031,Gas,B,N
3/20/2023,7-eleven,38.26,0,2679,Gas,B,N
3/10/2023,7-eleven,66.86,0,9031,Gas,B,N
3/1/2023,7-eleven,56.14,0,2679,Gas,B,N
2/9/2023,7-eleven,148.73,0,9031,Gas,B,N
2/3/2023,7-eleven,56.36,0,3341,Gas,B,N
2/27/2023,7-eleven,10.87,0,2675,Gas,B,N
2/23/2023,7-eleven,95.64,0,2675,Gas,B,N
2/21/2023,7-eleven,51.96,0,1,Gas,B,N
2/20/2023,7-eleven,38.15,0,718,Gas,B,N
2/14/2023,7-eleven,63.28,0,9031,Gas,B,N
2/14/2023,7-eleven,36.54,0,2679,Gas,B,N
2/13/2023,7-eleven,28.94,0,3341,Gas,B,N
1/5/2023,7-eleven,61.35,0,3341,Gas,B,N
1/30/2023,7-eleven,95.73,0,2675,Gas,B,N
1/3/2023,7-eleven,0.22,0,2675,Gas,B,N
1/3/2023,7-eleven,51.82,0,2675,Gas,B,N
1/3/2023,7-eleven,12.44,0,3341,Gas,B,N
1/29/2023,7-eleven,40.55,0,9031,Gas,B,N
1/29/2023,7-eleven,28.82,0,9031,Gas,B,N
1/27/2023,7-eleven,15.82,0,9031,Gas,B,N
1/26/2023,7-eleven,81.67,0,3341,Gas,B,N
1/25/2023,7-eleven,62.11,0,718,Gas,B,N
1/24/2023,7-eleven,29.47,0,9031,Gas,B,N
1/18/2023,7-eleven,0.77,0,2675,Gas,B,N
1/17/2023,7-eleven,34.81,0,3341,Gas,B,N
1/16/2023,7-eleven,42.89,0,718,Gas,B,N
1/16/2023,7-eleven,54.62,0,2675,Gas,B,N
1/16/2023,7-eleven,62.19,0,3341,Gas,B,N
1/16/2023,7-eleven,7.33,0,9031,Gas,B,N
1/16/2023,7-eleven,66.31,0,2675,Gas,B,N
1/14/2023,7-eleven,115.32,0,9031,Gas,B,N
1/13/2023,7-eleven,39.36,0,3341,Gas,B,N
1/12/2023,7-eleven,88.64,0,2675,Gas,B,N
1/11/2023,7-eleven,15.89,0,3341,Gas,B,N
1/1/2023,7-eleven,52.03,0,1,Gas,B,N
4/6/2023,ABC,181.88,0,2679,Professional Service,P,N
5/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
4/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
3/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
2/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
1/9/2023,Adobe Acropro,21.64,0,718,Software,B,Y
5/2/2023,Advance Auto Parts,9.19,0,3341,Auto Maintenance,B,N
2/3/2023,Alamo Specialty Pharmacy,37.99,0,9031,Medical,B,N
3/28/2023,Alamo Specialty Pharmacy,25,0,9031,Medical,B,N
5/23/2023,Allstate,112.82,0,0,Insurance,B,Y
5/22/2023,Allstate,1893.33,0,1,Insurance,B,Y
5/22/2023,Allstate,117.38,0,718,Insurance,B,Y
3/20/2023,Allstate,1402.26,0,1,Insurance,B,Y
3/20/2023,Allstate,117.38,0,9031,Insurance,B,Y
1/30/2023,Allstate,1402.26,0,1,Insurance,B,Y
1/30/2023,Allstate,182.07,0,9031,Insurance,B,Y
4/27/2023,Ally,509.98,0,0,Loan,B,Y
3/28/2023,Ally,509.98,0,0,Loan,B,Y
2/28/2023,Ally,509.98,0,0,Loan,B,Y
1/27/2023,Ally,509.98,0,0,Loan,B,Y
5/28/2023,Amazon,16.18,0,9031,Supplies,B,N
5/27/2023,Amazon,153.71,0,9031,Supplies,B,N
5/11/2023,Amazon,8.61,0,9031,Supplies,B,N
5/11/2023,Amazon,37.76,0,9031,Supplies,B,N
5/11/2023,Amazon,11.9,0,9031,Supplies,B,N
5/10/2023,Amazon,189.66,0,9031,Supplies,B,N
5/10/2023,Amazon,8.76,0,9031,Supplies,B,N
5/9/2023,Amazon,45.43,0,9031,Supplies,B,N
5/3/2023,Amazon,16.23,0,9031,Supplies,B,N
4/28/2023,Amazon,16.18,0,9031,Supplies,B,N
4/3/2023,Amazon,16.23,0,9031,Supplies,B,N
4/25/2023,Amazon,28.13,0,9031,Supplies,B,N
1/17/2023,Amazon,21.63,0,9031,Supplies,B,N
1/15/2023,Amazon,43.29,0,9031,Supplies,B,N
1/15/2023,Amazon,46.53,0,9031,Supplies,B,N
1/10/2023,Amercian Bolt Company,79.73,0,3341,Professional Service,B,N
5/22/2023,American Express,575.89,0,0,Credit Card,B,Y
5/22/2023,American Express,329,0,0,Credit Card,B,Y
5/11/2023,American Express,572.02,0,0,Credit Card,B,Y
5/11/2023,American Express,398,0,0,Credit Card,B,Y
4/3/2023,American Express,492.64,0,0,Credit Card,B,Y
4/24/2023,American Express,554.27,0,0,Credit Card,B,Y
4/24/2023,American Express,329,0,0,Credit Card,B,Y
4/11/2023,American Express,492.98,0,0,Credit Card,B,Y
4/11/2023,American Express,398,0,0,Credit Card,B,Y
3/23/2023,American Express,329,0,0,Credit Card,B,Y
3/21/2023,American Express,292.55,0,0,Credit Card,B,Y
3/13/2023,American Express,495.74,0,0,Credit Card,B,Y
3/13/2023,American Express,398,0,0,Credit Card,B,Y
3/1/2023,American Express,495.74,0,0,Credit Card,B,Y
2/22/2023,American Express,495.74,0,0,Credit Card,B,Y
2/22/2023,American Express,329,0,0,Credit Card,B,Y
2/13/2023,American Express,520.03,0,0,Credit Card,B,Y
2/13/2023,American Express,398,0,0,Credit Card,B,Y
2/1/2023,American Express,519.5,0,0,Credit Card,B,Y
1/25/2023,American Express,535.8,0,0,Credit Card,B,Y
1/24/2023,American Express,329,0,0,Credit Card,B,Y
1/11/2023,American Express,495.64,0,0,Credit Card,B,Y
1/11/2023,American Express,398,0,0,Credit Card,B,Y
3/29/2023,American General,134.89,0,0,Insurance,B,Y
4/26/2023,Amtrust North America Inc,1831,0,718,Insurance,B,N
4/30/2023,Amys China Cuisine,69.13,0,9031,Food,P,N
5/29/2023,Apple,14.06,0,0718,Software,B,Y
5/26/2023,Apple,21.64,0,9031,Software,B,Y
5/26/2023,Apple,9.99,0,9031,Software,B,Y
5/25/2023,Apple,15,0,9031,Software,B,Y
5/24/2023,Apple,10,0,9031,Software,B,Y
5/24/2023,Apple,7.57,0,9031,Software,B,Y
5/20/2023,Apple,5.4,0,718,Software,B,Y
5/20/2023,Apple,21.64,0,9031,Software,B,Y
5/20/2023,Apple,11.9,0,9031,Software,B,Y
5/11/2023,Apple,7.57,0,9031,Software,B,Y
5/5/2023,Apple,2.99,0,718,Software,B,Y
5/1/2023,Apple,33.35,0,9031,Software,B,Y
4/30/2023,Apple,14.06,0,718,Software,B,Y
4/6/2023,Apple,96.34,0,9031,Software,B,Y
4/5/2023,Apple,2.99,0,718,Software,B,Y
4/26/2023,Apple,9.99,0,9031,Software,B,Y
4/25/2023,Apple,0,64.95,9031,Software,B,Y
4/24/2023,Apple,5.4,0,718,Software,B,Y
4/23/2023,Apple,92,0,9031,Software,B,Y
4/21/2023,Apple,41.11,0,9031,Software,B,Y
4/11/2023,Apple,7.57,0,9031,Software,B,Y
3/6/2023,Apple,2.99,0,718,Software,B,Y
3/4/2023,Apple,14.06,0,718,Software,B,Y
3/4/2023,Apple,31.36,0,9031,Software,B,Y
3/30/2023,Apple,16.23,0,9031,Software,B,Y
3/29/2023,Apple,14.06,0,718,Software,B,Y
3/27/2023,Apple,15.13,0,9031,Software,B,Y
3/26/2023,Apple,9.99,0,9031,Software,B,Y
3/23/2023,Apple,19.47,0,9031,Software,B,Y
3/11/2023,Apple,7.57,0,9031,Software,B,Y
2/9/2023,Apple,2.99,0,718,Software,B,Y
2/26/2023,Apple,9.99,0,9031,Software,B,Y
2/24/2023,Apple,7.57,0,9031,Software,B,Y
2/20/2023,Apple,22.71,0,9031,Software,B,Y
2/2/2023,Apple,14.06,0,718,Software,B,Y
2/11/2023,Apple,7.57,0,9031,Software,B,Y
1/8/2023,Apple,8.65,0,9031,Software,B,Y
1/5/2023,Apple,2.99,0,718,Software,B,Y
1/31/2023,Apple,31.36,0,9031,Software,B,Y
1/26/2023,Apple,9.99,0,9031,Software,B,Y
1/26/2023,Apple,7.57,0,9031,Software,B,Y
1/26/2023,Apple,11.9,0,9031,Software,B,Y
1/11/2023,Apple,7.57,0,9031,Software,B,Y
1/1/2023,Apple,14.06,0,718,Software,B,Y
5/26/2023,Ascension Personalized Care,385.59,0,9031,Software,B,Y
5/29/2023,AT&T,36.53,0,9031,Phones/Internet,B,Y
5/19/2023,AT&T,45.38,0,9031,Phones/Internet,B,Y
5/17/2023,AT&T,80,0,0,Phones/Internet,B,Y
5/13/2023,AT&T,77.83,0,9031,Phones/Internet,B,Y
5/8/2023,AT&T,174.68,0,0,Phones/Internet,B,Y
4/5/2023,AT&T,174.68,0,0,Phones/Internet,B,Y
4/27/2023,AT&T,831.91,0,0,Phones/Internet,B,Y
4/18/2023,AT&T,80,0,0,Phones/Internet,B,Y
4/15/2023,AT&T,21.89,0,9031,Phones/Internet,B,Y
3/8/2023,AT&T,174.68,0,0,Phones/Internet,B,Y
3/29/2023,AT&T,805.48,0,0,Phones/Internet,B,Y
3/21/2023,AT&T,80.42,0,0,Phones/Internet,B,Y
3/12/2023,AT&T,37.87,0,9031,Phones/Internet,B,Y
3/11/2023,AT&T,33.55,0,9031,Phones/Internet,B,Y
3/11/2023,AT&T,102.83,0,9031,Phones/Internet,B,Y
3/10/2023,AT&T,31.39,0,9031,Phones/Internet,B,Y
2/28/2023,AT&T,803.56,0,0,Phones/Internet,B,Y
2/27/2023,AT&T,194.6,0,9031,Phones/Internet,B,Y
2/24/2023,AT&T,34.63,0,9031,Phones/Internet,B,Y
2/19/2023,AT&T,55.73,0,9031,Phones/Internet,B,Y
2/19/2023,AT&T,111.97,0,9031,Phones/Internet,B,Y
2/17/2023,AT&T,80.42,0,0,Phones/Internet,B,Y
1/5/2023,AT&T,74.15,0,0,Phones/Internet,B,Y
1/27/2023,AT&T,796.55,0,0,Phones/Internet,B,Y
1/17/2023,AT&T,80,0,0,Phones/Internet,B,Y
1/14/2023,AT&T,40.84,0,9031,Phones/Internet,B,Y
4/5/2023,ATM,200,0,2675,Withdrawal,B,N
4/3/2023,ATM,200,0,9031,Withdrawal,B,N
4/3/2023,ATM,200,0,9031,Withdrawal,B,N
4/3/2023,ATM,315.9,0,0,Withdrawal,B,N
4/24/2023,ATM,102.25,0,9031,Withdrawal,B,N
4/13/2023,ATM,359.66,0,0,Withdrawal,B,N
2/10/2023,ATM,182.5,0,3341,Withdrawal,B,N
2/10/2023,ATM,200,0,9031,Withdrawal,B,N
1/3/2023,ATM,700,0,9031,Withdrawal,B,N
1/26/2023,ATM,520,0,9031,Withdrawal,B,N
1/14/2023,ATM,303.75,0,3341,Withdrawal,B,N
1/14/2023,ATM,200,0,2675,Withdrawal,B,N
5/17/2023,Austin Community College,256,0,3341,Recreational,P,N
5/24/2023,Automechanic Service,841.44,0,0,Auto Maintenance,B,N
2/28/2023,Automechanic Service,1609.56,0,3341,Auto Maintenance,B,N
1/10/2023,Autozone,54.1,0,2675,Auto Maintenance,B,N
5/21/2023,Bahama Bucks,11.89,0,9031,Food,P,N
5/3/2023,Bank of America,877.05,0,0,Credit Card,B,Y
4/5/2023,Bank of America,877.05,0,0,Credit Card,B,Y
3/3/2023,Bank of America,877.05,0,0,Credit Card,B,Y
2/3/2023,Bank of America,877.05,0,0,Credit Card,B,Y
1/5/2023,Bank of America,877.05,0,0,Credit Card,B,Y
5/28/2023,Barton Creek Mall,7.83,0,0,Credit Card,B,Y
5/7/2023,Bath and Body Works,65.21,0,9031,Recreational,P,N
5/27/2023,Baylor Scott & White Health,410.03,0,0,Medical,B,N
5/11/2023,BBB,80,0,3341,Marketing,B,Y
4/11/2023,BBB,80,0,3341,Marketing,B,Y
3/11/2023,BBB,80,0,3341,Marketing,B,Y
2/11/2023,BBB,80,0,3341,Marketing,B,Y
1/11/2023,BBB,80,0,3341,Marketing,B,Y
5/27/2023,Berrett Pest Control,60.62,0,0001,Professional Service,P,Y
4/26/2023,Berrett Pest Control,123.41,0,1,Professional Service,P,Y
4/25/2023,Berrett Pest Control,107.17,0,1,Professional Service,P,Y
4/25/2023,Berrett Pest Control,64.95,0,1,Professional Service,P,Y
1/17/2023,Big Red Express,15,0,3341,Auto Maintenance,B,N
4/28/2023,Boulevard Bagel,35.82,0,3341,Food,P,N
4/24/2023,Breed & Co,6.29,0,3341,Supplies,B,N
5/23/2023,Buc-ees,22.6,0,9031,Gas,B,N
5/6/2023,Buc-ees,16.96,0,9031,Gas,B,N
4/11/2023,Buc-ees,33.18,0,2675,Gas,B,N
3/29/2023,Buc-ees,33.12,0,9031,Gas,B,N
3/29/2023,Buc-ees,25.8,0,9031,Gas,B,N
3/18/2023,Buc-ees,25.53,0,9031,Gas,B,N
5/5/2023,Business Insurance,672.5,0,0,Insurance,B,Y
4/5/2023,Business Insurance,672.5,0,0,Insurance,B,Y
3/6/2023,Business Insurance,672.5,0,0,Insurance,B,Y
1/10/2023,Business Insurance,1982.5,0,0,Insurance,B,Y
5/16/2023,Capital One,500,0,0,Credit Card,B,Y
5/3/2023,Capital One,400,0,0,Credit Card,B,Y
4/4/2023,Capital One,400,0,0,Credit Card,B,Y
4/17/2023,Capital One,500,0,0,Credit Card,B,Y
3/3/2023,Capital One,400,0,0,Credit Card,B,Y
3/15/2023,Capital One,500,0,0,Credit Card,B,Y
2/3/2023,Capital One,400,0,0,Credit Card,B,Y
2/15/2023,Capital One,500,0,0,Credit Card,B,Y
1/3/2023,Capital One,400,0,0,Credit Card,B,Y
1/17/2023,Capital One,500,0,0,Credit Card,B,Y
5/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
4/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
3/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
2/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
1/17/2023,Chase Credit,400,0,0,Credit Card,B,Y
5/26/2023,Check,150,0,0,Labor,B,N
5/26/2023,Check,200,0,0,Labor,B,N
5/25/2023,Check,770.03,0,0,Labor,B,N
5/24/2023,Check,1150,0,0,Labor,B,N
5/24/2023,Check,1750,0,0,Labor,B,N
5/22/2023,Check,3000,0,0,Labor,B,N
5/22/2023,Check,200,0,0,Labor,B,N
5/22/2023,Check,701.15,0,0,Labor,B,N
5/22/2023,Check,277.05,0,0,Labor,B,N
5/22/2023,Check,0,4758.68,0,Labor,B,N
5/22/2023,Check,1230.41,0,0,Labor,B,N
5/20/2023,Check,675.33,0,0,Labor,B,N
5/20/2023,Check,675.33,0,0,Labor,B,N
5/19/2023,Check,100,0,0,Labor,B,N
5/19/2023,Check,2003,0,0,Labor,B,N
5/19/2023,Check,1640,0,0,Labor,B,N
5/19/2023,Check,5775,0,0,Labor,B,N
5/19/2023,Check,0,2097,0,Labor,B,N
5/18/2023,Check,1459.07,0,0,Labor,B,N
5/18/2023,Check,1550,0,0,Labor,B,N
5/18/2023,Check,1442,0,0,Labor,B,N
5/18/2023,Check,2500,0,0,Labor,B,N
5/18/2023,Check,2477.98,0,0,Labor,B,N
5/18/2023,Check,2500,0,0,Labor,B,N
5/17/2023,Check,1680,0,0,Labor,B,N
5/17/2023,Check,1800,0,0,Labor,B,N
5/17/2023,Check,848,0,0,Labor,B,N
5/16/2023,Check,130,0,0,Labor,B,N
5/16/2023,Check,2400,0,0,Labor,B,N
5/16/2023,Check,1103,0,0,Labor,B,N
5/16/2023,Check,0,9937.31,0,Labor,B,N
5/11/2023,Check,0,1244.88,0,Labor,B,N
5/9/2023,Check,1500,0,0,Labor,B,N
5/9/2023,Check,3200,0,0,Labor,B,N
5/9/2023,Check,690,0,0,Labor,B,N
5/9/2023,Check,0,3680.5,0,Labor,B,N
5/9/2023,Check,0,7263.58,0,Labor,B,N
5/9/2023,Check,770.04,0,0,Labor,B,N
5/9/2023,Check,0,2208,0,Labor,B,N
5/5/2023,Check,311.23,0,0,Labor,B,N
5/5/2023,Check,1750,0,0,Labor,B,N
5/5/2023,Check,675.34,0,0,Labor,B,N
5/5/2023,Check,1568.24,0,0,Labor,B,N
5/5/2023,Check,675.34,0,0,Labor,B,N
5/5/2023,Check,0,2530.64,0,Labor,B,N
5/5/2023,Check,0,7739.88,0,Labor,B,N
5/4/2023,Check,1247.73,0,0,Labor,B,N
5/4/2023,Check,1459.07,0,0,Labor,B,N
5/4/2023,Check,0,1337.08,0,Labor,B,N
5/4/2023,Check,0,920.13,0,Labor,B,N
5/3/2023,Check,425,0,0,Labor,B,N
5/3/2023,Check,1322.53,0,0,Labor,B,N
5/3/2023,Check,0,1497.1,0,Labor,B,N
5/3/2023,Check,2100,0,0,Labor,B,N
5/3/2023,Check,1550,0,0,Labor,B,N
5/3/2023,Check,0,1497.1,0,Labor,B,N
5/2/2023,Check,1680,0,0,Labor,B,N
5/2/2023,Check,848,0,0,Labor,B,N
5/2/2023,Check,1800,0,0,Labor,B,N
5/2/2023,Check,277.05,0,0,Labor,B,N
5/2/2023,Check,2300,0,0,Labor,B,N
5/2/2023,Check,1542,0,0,Labor,B,N
5/2/2023,Check,1103,0,0,Labor,B,N
5/1/2023,Check,2500,0,0,Labor,B,N
5/1/2023,Check,0,2500,0,Labor,B,N
5/1/2023,Check,0,19474.51,0,Labor,B,N
5/1/2023,Check,2500,0,0,Labor,B,N
5/1/2023,Check,0,4700,0,Labor,B,N
4/7/2023,Check,5775,0,0,Labor,B,N
4/5/2023,Check,1409.07,0,0,Labor,B,N
4/5/2023,Check,770.04,0,0,Labor,B,N
4/4/2023,Check,1582.75,0,0,Labor,B,N
4/4/2023,Check,2500,0,0,Labor,B,N
4/4/2023,Check,1660,0,0,Labor,B,N
4/4/2023,Check,1750,0,0,Labor,B,N
4/4/2023,Check,2250,0,0,Labor,B,N
4/4/2023,Check,1322.53,0,0,Labor,B,N
4/4/2023,Check,1848,0,0,Labor,B,N
4/4/2023,Check,2432.98,0,0,Labor,B,N
4/4/2023,Check,135,0,0,Labor,B,N
4/4/2023,Check,1550,0,0,Labor,B,N
4/3/2023,Check,848,0,0,Labor,B,N
4/3/2023,Check,235,0,0,Labor,B,N
4/3/2023,Check,425,0,0,Labor,B,N
4/3/2023,Check,2320,0,0,Labor,B,N
4/3/2023,Check,675.34,0,0,Labor,B,N
4/3/2023,Check,675.34,0,0,Labor,B,N
4/3/2023,Check,1203,0,0,Labor,B,N
4/3/2023,Check,1568.24,0,0,Labor,B,N
4/3/2023,Check,1393.79,0,0,Labor,B,N
4/24/2023,Check,200,0,0,Labor,B,N
4/22/2023,Check,3203,0,0,Labor,B,N
4/22/2023,Check,675.33,0,0,Labor,B,N
4/21/2023,Check,425,0,0,Labor,B,N
4/21/2023,Check,277.05,0,0,Labor,B,N
4/21/2023,Check,1568.24,0,0,Labor,B,N
4/21/2023,Check,675.33,0,0,Labor,B,N
4/21/2023,Check,7082.02,0,0,Labor,B,N
4/20/2023,Check,425,0,0,Labor,B,N
4/20/2023,Check,1165.38,0,0,Labor,B,N
4/19/2023,Check,848,0,0,Labor,B,N
4/19/2023,Check,2620,0,0,Labor,B,N
4/18/2023,Check,1322.53,0,0,Labor,B,N
4/17/2023,Check,1550,0,0,Labor,B,N
4/14/2023,Check,2500,0,0,Labor,B,N
4/14/2023,Check,1100,0,0,Labor,B,N
4/12/2023,Check,1000,0,0,Labor,B,N
4/10/2023,Check,200,0,0,Labor,B,N
3/9/2023,Check,250,0,0,Labor,B,N
3/9/2023,Check,1309.5,0,0,Labor,B,N
3/7/2023,Check,1000,0,0,Labor,B,N
3/6/2023,Check,2432.98,0,0,Labor,B,N
3/6/2023,Check,450,0,0,Labor,B,N
3/6/2023,Check,2500,0,0,Labor,B,N
3/6/2023,Check,277.05,0,0,Labor,B,N
